Automaker,Q1_2022,Q2_2022,Q3_2022,Q4_2022,Q1_2023,Q2_2023,Q3_2023,Q4_2023,Q1_2024,Q2_2024
Tesla,129743,130047,114000,131574,161630,175262,156621,161375,140187,164264
Ford,6734,15273,18257,20339,10866,14843,20962,25937,20223,23957
GM,457,7217,15156,16150,20670,15652,20057,19469,16169,21930
Nissan,4371,3251,1276,3308,5214,4215,6074,5113,5284,7128
Volkswagen ,7932,8961,11893,15193,15723,13977,20295,20403,13806,11904
Hyundai,15480,17979,9796,9641,14346,21696,30757,25447,22936,37044
Subaru,0,0,0,919,1359,1613,2791,3109,1147,4238
Toyota,0,0,240,985,1840,2893,4221,5718,3500,11607
Mercedes,2091,1959,2717,5656,5053,9029,10423,10767,12250,9270
Mazda,0,0,0,324,15,51,34,0,0,0
BMW,1171,1082,4337,7099,6585,11990,13594,15364,11455,14081
Jaguar,0,114,0,298,8,80,86,78,256,1188
Stellantis,0,0,0,0,0,0,0,0,0,0
Volvo,3092,4518,3510,5616,5228,7608,7797,6531,3279,2285
Rivian,1227,4467,6584,8054,7946,12640,15564,13553,13588,13790
Lucid,460,482,1398,1060,1368,1659,1618,1512,1967,1855
Vinfast,0,0,0,0,110,740,1159,1120,927,1225
Fisker,0,0,0,0,0,0,997,1672,1660,2127
TOTAL ,173561,196788,188924,226789,258882,295355,313086,317168,268909,330463
